id;description;style;depends_on;contractual_milestone;related_prs;last_status;new_status
BasicAbstr;Basic Abstractions around Votes and Certificates;stroke:red;;T1.1;https://github.com/IntersectMBO/ouroboros-consensus/pull/1673,https://github.com/IntersectMBO/ouroboros-consensus/pull/1801;100;100
ObjectDiffusion;ObjectDiffusion miniprotocol;stroke:green;;T1.4;https://github.com/IntersectMBO/ouroboros-consensus/pull/1800,https://github.com/IntersectMBO/ouroboros-network/pull/5202,https://github.com/IntersectMBO/ouroboros-network/pull/5267;50;50
VotingCommittee;Voting Committee selection logic;stroke:blue;;T1.5;https://github.com/IntersectMBO/ouroboros-consensus/pull/1839;20;20
Dashboard;Design dashboard to preview Peras costs and guarantees;stroke:orange;;T1.2;https://github.com/tweag/cardano-peras/pull/196,https://github.com/tweag/cardano-peras/pull/202;60;60
CertDB;In-Memory CertDB;stroke:green;BasicAbstr;T1.4;https://github.com/IntersectMBO/ouroboros-consensus/pull/1674,https://github.com/IntersectMBO/ouroboros-consensus/pull/1772;50;50
CertsInBlocks;Allow Certs in Block Bodies;stroke:blue;BasicAbstr;T1.5;https://github.com/IntersectMBO/cardano-ledger/pull/5439,https://github.com/IntersectMBO/cardano-ledger/pull/5467,https://github.com/IntersectMBO/cardano-ledger/pull/5476,https://github.com/IntersectMBO/ouroboros-consensus/pull/1788;30;30
DeployDashboard;Deploy dashboard on a public-facing website;stroke:orange;Dashboard;T1.2;;0;0
HFCPlumbing;HFC plumbing for Peras;stroke:blue;BasicAbstr;T1.5;https://github.com/IntersectMBO/ouroboros-consensus/pull/168,https://github.com/IntersectMBO/ouroboros-consensus/pull/1829;30;30
MockedCrypto;Mocked Vote and Cert Cryptography;stroke:blue;BasicAbstr;T1.5;https://github.com/IntersectMBO/cardano-base/pull/585;30;30
VoteDB;VoteDB;stroke:green;BasicAbstr;T1.4;https://github.com/IntersectMBO/ouroboros-consensus/pull/1768,https://github.com/IntersectMBO/ouroboros-consensus/pull/1809;90;90
WeightedBlockFetch;Weighted BlockFetch candidate comparisons;stroke:yellow;CertDB;T1.3;https://github.com/IntersectMBO/ouroboros-consensus/pull/1678,https://github.com/IntersectMBO/ouroboros-network/pull/5161;100;100
WeightedChainSel;Weighted ChainSel;stroke:yellow;CertDB;T1.3;https://github.com/IntersectMBO/ouroboros-consensus/pull/1678,https://github.com/IntersectMBO/ouroboros-network/pull/5161,https://github.com/IntersectMBO/ouroboros-consensus/pull/1619;100;100
BlockMint;Modify Block Mint logic;stroke:blue;CertDB,CertsInBlocks;T1.5;;0;0
KeepTrackLastCert;Keep track of the latest cert seen on chain and in DB;stroke:blue;CertDB,CertsInBlocks;T1.5;https://github.com/IntersectMBO/ouroboros-consensus/pull/1864;80;80
VotingRules;Voting rules - CIP version;stroke:red;KeepTrackLastCert;T1.1;https://github.com/IntersectMBO/ouroboros-consensus/pull/1784,https://github.com/IntersectMBO/ouroboros-consensus/pull/1785,https://github.com/IntersectMBO/ouroboros-consensus/pull/1751;100;100
CertDiffusion;Cert diffusion;stroke:green;CertDB,ObjectDiffusion;T1.4;;80;80
CaughtUpCriterion;New caught-up criterion w.r.t Peras certs;stroke:blue;CertDiffusion;T1.5;https://github.com/IntersectMBO/ouroboros-consensus/pull/1783;20;20
CertMint;Cert Mint logic;stroke:blue;CertDB,VoteDB;T1.5;https://github.com/IntersectMBO/ouroboros-consensus/pull/1801;90;90
VoteDiffusion;Vote diffusion;stroke:green;ObjectDiffusion,VoteDB;T1.4;;80;80
Bootstrap;Adapt voting rules so Peras can be bootstrapped;stroke:blue;VotingRules;T1.5;;60;60
VoteMint;Vote Mint logic;stroke:blue;VoteDB,VotingCommittee,VotingRules;T1.5;;0;0
VotingThread;Voting thread;stroke:blue;VoteMint;T1.5;;0;0
KillSwitch;Design Peras on/off switch;stroke:blue;CertDiffusion,CertMint,VoteDiffusion,VotingThread;T1.5;https://github.com/IntersectMBO/ouroboros-consensus/pull/1780;0;0
ReadyForTestnet;Ready for Testnet;stroke:blue;BlockMint,Bootstrap,CaughtUpCriterion,HFCPlumbing,KillSwitch,MockedCrypto,WeightedBlockFetch,WeightedChainSel;T1.5;;;
Deploy;Integrate code and deploy testnet;stroke:blue;ReadyForTestnet;T1.5;;;
Testnet;Peras private testnet deployed;stroke:blue;Deploy;T1.5;;;
ExposeParams;Expose Peras params as on-chain params;stroke:purple,stroke-dasharray:5;Testnet;T1.6?;;;
Monitoring;Implement monitoring and inspection for testnet;stroke:purple;Testnet;T1.6;;;
OptimizeObjectDiffusion;Benchmark and Optimize ObjectDiffusion;stroke:purple;Testnet;T1.6;;;
OptimizeWeightedSel;Benchmark and Optimize Weighted ChainSel;stroke:purple;Testnet;T1.6;;;
ObjectDiffusionV2;ObjectDiffusionV2;stroke:purple,stroke-dasharray:5;OptimizeObjectDiffusion;T1.6?;https://github.com/IntersectMBO/ouroboros-consensus/pull/1786;50;50
TestnetCaughtUp;Testnet supporting pre-alpha Peras;stroke:purple;ExposeParams,Monitoring,ObjectDiffusionV2,OptimizeWeightedSel;T1.6;;;
